Xing Wang
Problem: QueueControl_a
CPU Time: 12.2990 seconds
Expected Total Reward: 4389.1107 
Optimal Policy: 
 State: 0 ------> [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
State: 58 ------> [[46, 12], [46, 12], [46, 12], [46, 12], [46, 12], [46, 12], [46, 12], [46, 12], [46, 12], [46, 12]]
State: 59 ------> [[47, 12], [47, 12], [47, 12], [47, 12], [47, 12], [47, 12], [47, 12], [47, 12], [47, 12], [47, 12]]
State: 60 ------> [[48, 12], [48, 12], [48, 12], [48, 12], [48, 12], [48, 12], [48, 12], [48, 12], [48, 12], [48, 12]]
State: 61 ------> [[48, 13], [48, 13], [48, 13], [48, 13], [48, 13], [48, 13], [48, 13], [48, 13], [48, 13], [48, 13]]
State: 62 ------> [[49, 13], [49, 13], [49, 13], [49, 13], [49, 13], [49, 13], [49, 13], [49, 13], [49, 13], [49, 13]]
State: 63 ------> [[50, 13], [50, 13], [50, 13], [50, 13], [50, 13], [50, 13], [50, 13], [50, 13], [50, 13], [50, 13]]
State: 64 ------> [[51, 13], [51, 13], [51, 13], [51, 13], [51, 13], [51, 13], [51, 13], [51, 13], [51, 13], [51, 13]]
State: 65 ------> [[52, 13], [52, 13], [52, 13], [52, 13], [52, 13], [52, 13], [52, 13], [52, 13], [52, 13], [52, 13]]
State: 66 ------> [[52, 14], [52, 14], [52, 14], [52, 14], [52, 14], [52, 14], [52, 14], [52, 14], [52, 14], [52, 14]]
State: 67 ------> [[53, 14], [53, 14], [53, 14], [53, 14], [53, 14], [53, 14], [53, 14], [53, 14], [53, 14], [53, 14]]
State: 68 ------> [[54, 14], [54, 14], [54, 14], [54, 14], [54, 14], [54, 14], [54, 14], [54, 14], [54, 14], [54, 14]]
State: 69 ------> [[55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14]]
State: 70 ------> [[55, 15], [55, 15], [55, 15], [55, 15], [55, 15], [55, 15], [55, 15], [55, 15], [55, 15], [55, 15]]
State: 71 ------> [[56, 15], [56, 15], [56, 15], [56, 15], [56, 15], [56, 15], [56, 15], [56, 15], [56, 15], [56, 15]]
State: 72 ------> [[57, 15], [57, 15], [57, 15], [57, 15], [57, 15], [57, 15], [57, 15], [57, 15], [57, 15], [57, 15]]
State: 73 ------> [[57, 16], [57, 16], [57, 16], [57, 16], [57, 16], [57, 16], [57, 16], [57, 16], [57, 16], [57, 16]]
State: 74 ------> [[58, 16], [58, 16], [58, 16], [58, 16], [58, 16], [58, 16], [58, 16], [58, 16], [58, 16], [58, 16]]
State: 75 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 76 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 77 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 78 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 79 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 80 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 81 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 82 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 83 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 84 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 85 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 86 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 87 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 88 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 89 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 90 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 91 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 92 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 93 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 94 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 95 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 96 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 97 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 98 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 99 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
State: 100 ------> [[59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16], [59, 16]]
