Xing Wang
Problem: QueueControl_d
CPU Time: 13.0230 seconds
Expected Total Reward: 8823.0788 
Optimal Policy: 
State: 61 ------> [[3, 58], [3, 58], [3, 58], [3, 58], [3, 58], [3, 58], [3, 58], [3, 58], [3, 58], [3, 58]]
State: 62 ------> [[4, 58], [4, 58], [4, 58], [4, 58], [4, 58], [4, 58], [4, 58], [4, 58], [4, 58], [4, 58]]
State: 63 ------> [[4, 59], [4, 59], [4, 59], [4, 59], [4, 59], [4, 59], [4, 59], [4, 59], [4, 59], [4, 59]]
State: 64 ------> [[5, 59], [5, 59], [5, 59], [5, 59], [5, 59], [5, 59], [5, 59], [5, 59], [5, 59], [5, 59]]
State: 65 ------> [[5, 60], [5, 60], [5, 60], [5, 60], [5, 60], [5, 60], [5, 60], [5, 60], [5, 60], [5, 60]]
State: 66 ------> [[6, 60], [6, 60], [6, 60], [6, 60], [6, 60], [6, 60], [6, 60], [6, 60], [6, 60], [6, 60]]
State: 67 ------> [[6, 61], [6, 61], [6, 61], [6, 61], [6, 61], [6, 61], [6, 61], [6, 61], [6, 61], [6, 61]]
State: 68 ------> [[7, 61], [7, 61], [7, 61], [7, 61], [7, 61], [7, 61], [7, 61], [7, 61], [7, 61], [7, 61]]
State: 69 ------> [[7, 62], [7, 62], [7, 62], [7, 62], [7, 62], [7, 62], [7, 62], [7, 62], [7, 62], [7, 62]]
State: 70 ------> [[8, 62], [8, 62], [8, 62], [8, 62], [8, 62], [8, 62], [8, 62], [8, 62], [8, 62], [8, 62]]
State: 71 ------> [[8, 63], [8, 63], [8, 63], [8, 63], [8, 63], [8, 63], [8, 63], [8, 63], [8, 63], [8, 63]]
State: 72 ------> [[9, 63], [9, 63], [9, 63], [9, 63], [9, 63], [9, 63], [9, 63], [9, 63], [9, 63], [9, 63]]
State: 73 ------> [[9, 64], [9, 64], [9, 64], [9, 64], [9, 64], [9, 64], [9, 64], [9, 64], [9, 64], [9, 64]]
State: 74 ------> [[10, 64], [10, 64], [10, 64], [10, 64], [10, 64], [10, 64], [10, 64], [10, 64], [10, 64], [10, 64]]
State: 75 ------> [[10, 65], [10, 65], [10, 65], [10, 65], [10, 65], [10, 65], [10, 65], [10, 65], [10, 65], [10, 65]]
State: 76 ------> [[11, 65], [11, 65], [11, 65], [11, 65], [11, 65], [11, 65], [11, 65], [11, 65], [11, 65], [11, 65]]
State: 77 ------> [[11, 66], [11, 66], [11, 66], [11, 66], [11, 66], [11, 66], [11, 66], [11, 66], [11, 66], [11, 66]]
State: 78 ------> [[12, 66], [12, 66], [12, 66], [12, 66], [12, 66], [12, 66], [12, 66], [12, 66], [12, 66], [12, 66]]
State: 79 ------> [[12, 67], [12, 67], [12, 67], [12, 67], [12, 67], [12, 67], [12, 67], [12, 67], [12, 67], [12, 67]]
State: 80 ------> [[13, 67], [13, 67], [13, 67], [13, 67], [13, 67], [13, 67], [13, 67], [13, 67], [13, 67], [13, 67]]
State: 81 ------> [[13, 68], [13, 68], [13, 68], [13, 68], [13, 68], [13, 68], [13, 68], [13, 68], [13, 68], [13, 68]]
State: 82 ------> [[14, 68], [14, 68], [14, 68], [14, 68], [14, 68], [14, 68], [14, 68], [14, 68], [14, 68], [14, 68]]
State: 83 ------> [[14, 69], [14, 69], [14, 69], [14, 69], [14, 69], [14, 69], [14, 69], [14, 69], [14, 69], [14, 69]]
State: 84 ------> [[15, 69], [15, 69], [15, 69], [15, 69], [15, 69], [15, 69], [15, 69], [15, 69], [15, 69], [15, 69]]
